manufacturer,asset_sha256,source_url,pdf_page,raw_text,context,verification
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,18,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"   BUEL® H
   TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,20,Operational pressure can be up to 250 bar. Our experts will assist you to find your best solution with BUEL®.,"The BUEL® Model G is a family member of the DELLNER BUBENZER brand BUEL®. It is a compact thruster to feed
active or passive hydraulic brakes and emergency brakes. It is also suitable for small capacity hydraulic cylinders.
Operational pressure can be up to 250 bar. Our experts will assist you to find your best solution with BUEL®.
More information: www.dellnerbubenzer.com
",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,23,210                                                                                                                                                                                                                                                                                                                                                                                              Max. working pressure (bar),"           G                                                                                                                                                                                                                                                                                                                                                                                                                                          Type

           210                                                                                                                                                                                                                                                                                                                                                                                              Max. working pressure (bar)

",unreviewed extraction; not a design input
dellner-bubenzer,1c67cc50555e6afcb50dc319c581ca3758ca2db242d515f0d982543a3363e1f7,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-VSR3-SB-Brakes.pdf,8,M25: Max cable diameter 17 mm,"
                                                                                                                    Cable glands free for customer:
                                                                                                                    M25: Max cable diameter 17 mm
                                                                                                                    M20: Signals to crane, max cable diameter 13 mm
                           160                                                                                      M20: Max cable diameter 17 mm",unreviewed extraction; not a design input
dellner-bubenzer,1c67cc50555e6afcb50dc319c581ca3758ca2db242d515f0d982543a3363e1f7,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-VSR3-SB-Brakes.pdf,8,"M20: Signals to crane, max cable diameter 13 mm","                                                                                                                    Cable glands free for customer:
                                                                                                                    M25: Max cable diameter 17 mm
                                                                                                                    M20: Signals to crane, max cable diameter 13 mm
                           160                                                                                      M20: Max cable diameter 17 mm
",unreviewed extraction; not a design input
dellner-bubenzer,1c67cc50555e6afcb50dc319c581ca3758ca2db242d515f0d982543a3363e1f7,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-VSR3-SB-Brakes.pdf,8,160                                                                                      M20: Max cable diameter 17 mm,"                                                                                                                    M25: Max cable diameter 17 mm
                                                                                                                    M20: Signals to crane, max cable diameter 13 mm
                           160                                                                                      M20: Max cable diameter 17 mm

                                                                                                                    M20: spare",unreviewed extraction; not a design input
dellner-bubenzer,1c67cc50555e6afcb50dc319c581ca3758ca2db242d515f0d982543a3363e1f7,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-VSR3-SB-Brakes.pdf,8,M20: Max cable diameter 13 mm,"
                                                                                                                    M20: spare
                                                                                                                    M20: Max cable diameter 13 mm
                                                                                                                    M20: Supply voltage, max cable diameter 13 mm
",unreviewed extraction; not a design input
dellner-bubenzer,1c67cc50555e6afcb50dc319c581ca3758ca2db242d515f0d982543a3363e1f7,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-VSR3-SB-Brakes.pdf,8,"M20: Supply voltage, max cable diameter 13 mm","                                                                                                                    M20: spare
                                                                                                                    M20: Max cable diameter 13 mm
                                                                                                                    M20: Supply voltage, max cable diameter 13 mm

",unreviewed extraction; not a design input
dellner-bubenzer,99cec3c25303853fc57fe75f529e58d79d5846a20cc3be89e4f8ea0f0c8b6f7c,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-CMB-3-SB-SF-Brakes.pdf,9,"sunshine and has a LED backlight for use in a dark environment,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               INT                                                                                                                       0                                                                                                                                             Brake pad temperature (left side)                                                                                                                                                                                                                     32                                                                                                                                      Brake pad temperature (left side)                                                                                                                                                                                                            -50....+600                                                                                                                                         °C","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       are shown on the display in English language. Other languages                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Data type                                                      (Byte):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    (Byte):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Example                                                                                                                                                      UnitSF-brake top sideSF-brake bottom sideData type                                                     (Byte):
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       are available on request. The display is readable under direct                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Bool                                                                                                      0.0                                                                          Reset                                               1 = Reset
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       sunshine and has a LED backlight for use in a dark environment,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               INT                                                                                                                       0                                                                                                                                             Brake pad temperature (left side)                                                                                                                                                                                                                     32                                                                                                                                      Brake pad temperature (left side)                                                                                                                                                                                                            -50....+600                                                                                                                                         °C
Profibus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               such as steel mills.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Bool                                                                                                      0.1
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     INT                                                                                                                       2                                                                                                                                             Brake pad temperature  (right side)                                                                                                                                                                                                             34                                                                                                                                      Brake pad temperature  (right side)                                                                                                                                                                                                    -50....+600                                                                                                                                         °CBool                                                                                                      0.2",unreviewed extraction; not a design input
dellner-bubenzer,99cec3c25303853fc57fe75f529e58d79d5846a20cc3be89e4f8ea0f0c8b6f7c,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-CMB-3-SB-SF-Brakes.pdf,9,INT                                                                                                                       2                                                                                                                                             Brake pad temperature  (right side)                                                                                                                                                                                                             34                                                                                                                                      Brake pad temperature  (right side)                                                                                                                                                                                                    -50....+600                                                                                                                                         °CBool                                                                                                      0.2,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       sunshine and has a LED backlight for use in a dark environment,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               INT                                                                                                                       0                                                                                                                                             Brake pad temperature (left side)                                                                                                                                                                                                                     32                                                                                                                                      Brake pad temperature (left side)                                                                                                                                                                                                            -50....+600                                                                                                                                         °C
Profibus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               such as steel mills.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Bool                                                                                                      0.1
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     INT                                                                                                                       2                                                                                                                                             Brake pad temperature  (right side)                                                                                                                                                                                                             34                                                                                                                                      Brake pad temperature  (right side)                                                                                                                                                                                                    -50....+600                                                                                                                                         °CBool                                                                                                      0.2

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     INT                                                                                                                       4                                                                                                                                                                                                                                            Stroke                                                                                                                                                                                                                                     36                                                                                                                                                                                                                                     Stroke                                                                                                                                                                                                                -1,0…+100,0                                                                                                                      mmBool                                                                                                      0.3",unreviewed extraction; not a design input
